PNR,customer_email,account_number,reward_points_earned,reward_points_burned,total_reward_points,membership_tier_before_transaction,membership_tier,date_points_earned,points_before_transaction
D4XXNN,cheryl.davis@example.net,5666542724,316,0,927,Silver,Silver,8/29/2022,611
ERXX77,michael.barnett@example.com,8599664159,3910,0,4407,Silver,Gold,7/10/2022,497
GEXXBM,kyle.morgan@example.org,1557294243,663,0,3714,Gold,Gold,7/26/2022,3051
K0XXM9,teresa.alvarez@example.net,4416155476,122,0,328,Silver,Silver,8/10/2022,206
L7XX8Q,elizabeth.mayer@example.org,5119014182,314,0,903,Silver,Silver,6/7/2022,589
D9XXLG,james.gonzalez@example.net,9080140003,8005,0,8789,Silver,Diamond,8/29/2022,784
E1XX1T,robert.santos@example.com,845470286,1841,329,4314,Gold,Gold,9/2/2022,2802
INXXJD,james.johnson@example.org,286563642,338,0,895,Silver,Silver,9/11/2022,557
ICXX32,robin.yang@example.com,6209150034,2659,0,7293,Gold,Diamond,9/19/2022,4634
GLXXF0,matthew.palmer@example.org,6387460967,71,0,207,Silver,Silver,9/19/2022,136
PBXXX1,shawn.johnson@example.com,9861068809,1124,0,9087,Diamond,Diamond,3/24/2022,7963
PBXXX1,erica.manning@example.net,8217112215,936,0,4559,Gold,Gold,9/5/2022,3623
JGXXTY,heidi.reed@example.com,584082774,150,0,905,Silver,Silver,9/20/2022,755
GHXXZP,amanda.jennings@example.net,3157534349,242,0,953,Silver,Silver,8/27/2022,711
DZXX8R,ashley.avery@example.org,6793599994,204,0,955,Silver,Silver,9/10/2022,751
BDXXQX,john.brown@example.com,9729737671,645,0,647,Silver,Silver,7/8/2022,2
N4XXFT,kevin.farrell@example.com,1121580191,605,0,985,Silver,Silver,9/4/2022,380
BDXXQX,sydney.clark@example.com,394733248,2936,0,7064,Gold,Diamond,8/27/2022,4128
N4XXFT,matthew.williams@example.com,4211847014,2243,0,4578,Gold,Gold,8/27/2022,2335
P6XX2F,cynthia.cantrell@example.com,8119274692,500,158,673,Silver,Silver,6/30/2022,331
NBXX81,christopher.mcneil@example.net,5667160769,375,0,537,Silver,Silver,6/30/2022,162
LDXX0N,tanya.mcbride@example.com,316293402,1181,0,2861,,Gold,9/29/2021,1680
DWXXNG,cody.paul@example.com,8070856137,183,0,880,Silver,Silver,9/2/2022,697
EYXXN4,patrick.jordan@example.com,6393979342,8295,0,9880,,Diamond,7/10/2022,1585
HKXX37,brandon.willis@example.net,8366274385,186,0,945,Silver,Silver,2/7/2022,759
A1XX09,kayla.fox@example.net,4679533105,2369,0,4336,,Gold,2/7/2022,1967
HMXXT5,lisa.davis@example.org,868996579,798,0,849,Silver,Silver,7/13/2022,51
HWXX2Y,patricia.williams@example.net,5945907903,352,0,733,Silver,Silver,7/13/2022,381
HWXX2Y,kyle.rosario@example.net,216102937,181,0,309,Silver,Silver,9/9/2022,128
HJXXCM,steven.vance@example.com,4869667961,4053,0,9081,Diamond,Diamond,9/9/2022,5028
HJXXCM,john.lee@example.org,8425915013,257,0,476,Silver,Silver,6/1/2022,219
LPXXLT,dominique.kim@example.net,4328511761,7,0,191,Silver,Silver,6/1/2022,184
B9XXFE,dana.johnston@example.net,7170458373,1642,0,4488,Gold,Gold,9/3/2022,2846
BNXXXK,kristen.aguirre@example.com,1824785452,14557,0,15915,,Platinum,9/3/2022,1358
ORXX2L,krista.curry@example.com,8369657100,823,0,855,Silver,Silver,7/2/2022,32
ORXX2L,laura.parker@example.org,2264750152,277,0,3961,Gold,Gold,7/2/2022,3684
H8XX6H,susan.byrd@example.com,741665480,200,0,373,Silver,Silver,7/16/2022,173
JFXXC5,kenneth.sanders@example.net,6892475456,143,0,237,Silver,Silver,8/29/2022,94
JFXXC5,michelle.gonzalez@example.org,2656892575,707,0,836,Silver,Silver,8/8/2022,129
GQXXRY,corey.jackson@example.com,2401480924,866,0,4263,Gold,Gold,9/2/2022,3397
GQXXRY,jason.morales@example.net,2691033823,2871,0,2988,Silver,Gold,9/14/2022,117
OKXX5J,john.bailey@example.com,3897185735,2,0,65,Silver,Silver,8/21/2022,63
MJXXEW,patricia.murphy@example.com,8551135029,562,0,2811,Gold,Gold,12/27/2021,2249
MJXXEW,brandi.contreras@example.org,3902178143,746,0,2345,,Gold,12/27/2021,1599
CTXXXL,christian.patterson@example.org,6696515542,633,0,988,Silver,Silver,12/27/2021,355
CTXXXL,angela.garza@example.com,8200004245,478,0,846,Silver,Silver,12/27/2021,368
GJXXPS,daniel.andrews@example.net,2869130429,191,0,434,Silver,Silver,9/5/2022,243
GJXXPS,daniel.yang@example.org,5370673515,1,6,7,Silver,Silver,9/5/2022,12
DPXXF0,jesus.conway@example.org,4716436410,2425,0,2741,Silver,Gold,9/5/2022,316
DPXXF0,stacie.stone@example.com,7776763269,673,0,944,Silver,Silver,9/5/2022,271
M2XXC8,stanley.owen@example.org,4171483044,390,0,2531,Gold,Gold,1/18/2022,2141
ONXXHV,jesus.bell@example.com,9933991228,109,0,223,Silver,Silver,1/18/2022,114
JSXXXR,john.herrera@example.org,5950691002,465,0,540,Silver,Silver,4/17/2022,75
GDXXRT,william.shaw@example.org,5477167081,146,0,290,Silver,Silver,4/17/2022,144
FEXXP9,ryan.nichols@example.net,6445802099,4320,0,4593,Silver,Gold,5/20/2022,273
ENXX9D,lauren.phillips@example.com,315690686,2677,0,4793,Gold,Gold,3/20/2022,2116
L3XXQH,kenneth.white@example.net,7032366476,1135,0,2671,,Gold,11/19/2021,1536
LGXX8F,christopher.booker@example.com,747302439,88,0,3455,Gold,Gold,8/30/2022,3367
P7XXV4,luis.perry@example.com,6389838264,25,0,292,Silver,Silver,8/30/2022,267
D7XXPB,catherine.calhoun@example.net,7625166474,309,359,2538,Gold,Gold,11/16/2021,2588
DRXXLM,angela.haynes@example.com,3182508451,109,0,132,Silver,Silver,11/16/2021,23
P7XXV4,anthony.turner@example.com,5754638810,1916,0,9231,Diamond,Diamond,9/5/2022,7315
D7XXPB,gregory.leonard@example.com,4242930812,149,0,584,Silver,Silver,5/26/2022,435
IZXXLT,kimberly.gutierrez@example.net,1617804619,995,0,2456,,Gold,5/26/2022,1461
G7XXG4,jason.davenport@example.com,2086690955,4102,182,4476,Silver,Gold,4/4/2022,556
G7XXG4,elizabeth.lee@example.com,7680830813,708,0,824,Silver,Silver,4/4/2022,116
IZXXLT,thomas.dennis@example.net,4872408453,151,0,248,Silver,Silver,8/13/2022,97
JLXX30,vanessa.hess@example.net,5047244289,646,0,2692,Gold,Gold,8/13/2022,2046
E6XX2W,james.foster@example.org,4049265562,6,0,39,Silver,Silver,4/11/2022,33
JLXX30,gail.perez@example.net,9681350934,1962,0,3858,,Gold,4/11/2022,1896
PCXX2J,kendra.weeks@example.org,2963330366,2691,985,4395,Gold,Gold,7/25/2022,2689
HSXXGV,lisa.lloyd@example.com,3275321208,1901,1588,5728,Diamond,Diamond,9/9/2022,5415
HBXX0E,pamela.shea@example.net,2091025492,750,0,992,Silver,Silver,9/9/2022,242
MNXXPC,brenda.anderson@example.com,9891287533,41,0,112,Silver,Silver,7/25/2022,71
E0XX07,patrick.figueroa@example.com,47474625,151,0,4949,Gold,Gold,7/25/2022,4798
MNXXPC,jonathan.kennedy@example.org,584777575,200,0,2781,Gold,Gold,8/5/2022,2581
E0XX07,kristopher.scott@example.org,219510693,4,0,6,Silver,Silver,8/5/2022,2
PJXXZ8,david.bennett@example.org,1133041927,78,0,105,Silver,Silver,7/12/2022,27
ARXX9D,tara.hernandez@example.com,3114963360,150,0,492,Silver,Silver,7/12/2022,342
ARXX9D,jeremy.pacheco@example.org,900398392,308,0,487,Silver,Silver,8/31/2022,179
GEXXX8,jeremy.hooper@example.org,625039900,2756,0,2908,Silver,Gold,8/31/2022,152
GEXXX8,joseph.king@example.com,8636499926,3436,0,4773,,Gold,8/16/2022,1337
C9XX9R,christopher.roach@example.net,1167102817,3589,0,5005,,Diamond,8/16/2022,1416
E1XXK7,bobby.baldwin@example.org,6738849013,466,0,768,Silver,Silver,8/6/2022,302
C9XX9R,tammy.dyer@example.net,6072130265,1079,0,3979,Gold,Gold,8/6/2022,2900
DEXXHW,valerie.williams@example.net,8795839549,927,0,4704,Gold,Gold,8/17/2022,3777
NMXXLY,rita.young@example.com,419090829,1870,0,2979,,Gold,8/17/2022,1109
D6XXSK,gregory.tucker@example.net,824003792,8020,0,11254,Gold,Platinum,3/8/2022,3234
BLXX25,robin.watson@example.com,589976147,10,0,197,Silver,Silver,3/8/2022,187
JQXXDP,mary.joseph@example.org,473298028,1729,163,4355,Gold,Gold,9/2/2022,2789
D6XXSK,nathan.bolton@example.org,7971457,5483,0,23667,Platinum,Platinum,9/2/2022,18184
BLXX25,christopher.cross@example.net,811138953,6282,0,20959,Platinum,Platinum,2/22/2022,14677
GEXXY9,morgan.morris@example.org,9483462827,97,0,245,Silver,Silver,9/3/2022,148
PTXX22,dwayne.west@example.org,2934802384,1765,0,3769,Gold,Gold,9/3/2022,2004
E1XXL2,antonio.vazquez@example.com,1388747071,654,0,656,Silver,Silver,9/3/2022,2
I3XXWM,scott.torres@example.com,373249946,745,0,764,Silver,Silver,1/24/2022,19
I3XXWM,jeffrey.mitchell@example.com,163339829,118,0,366,Silver,Silver,7/18/2022,248
PTXX22,amy.rivera@example.com,6309066288,329,0,4626,Gold,Gold,8/7/2022,4297
AMXX39,charles.johnson@example.net,1955947330,4280,0,8957,Gold,Diamond,7/21/2022,4677
AMXX39,keith.ramirez@example.com,7380674417,224,0,449,Silver,Silver,7/22/2022,225
CGXXKE,angela.nguyen@example.com,3547185402,286,0,383,Silver,Silver,7/22/2022,97
J9XXYE,kyle.berg@example.net,9174582562,835,0,878,Silver,Silver,8/9/2022,43
CGXXNL,matthew.ramirez@example.org,2393254482,2088,0,4823,Gold,Gold,8/9/2022,2735
J9XXYE,whitney.fleming@example.net,4618973969,2910,0,5519,Gold,Diamond,8/31/2022,2609
CGXXKE,abigail.wells@example.org,3012347996,433,0,774,Silver,Silver,8/9/2022,341
CGXXNL,thomas.marquez@example.org,8534406069,6,0,2330,Gold,Gold,8/9/2022,2324
O2XX8R,john.taylor@example.org,5570871545,341,0,703,Silver,Silver,8/30/2022,362
LXXXB2,daniel.wall@example.com,4739120631,216,0,485,Silver,Silver,8/30/2022,269
LXXXB2,christina.jones@example.org,8414754919,83,0,102,Silver,Silver,8/7/2022,19
CFXXY0,melissa.hall@example.org,100501707,1663,0,3815,Gold,Gold,8/7/2022,2152
CFXXY0,richard.davis@example.org,7637358046,431,0,942,Silver,Silver,8/1/2022,511
AEXXJZ,javier.boone@example.org,3372633929,33,0,110,Silver,Silver,8/1/2022,77
AEXXJZ,philip.ramos@example.net,1700926568,45,0,46,Silver,Silver,7/7/2022,1
JWXXBL,sarah.leon@example.net,2057500963,3756,0,5597,,Diamond,7/7/2022,1841
GHXX2N,susan.quinn@example.com,1113190199,19,0,857,Silver,Silver,2/16/2022,838
HEXX6L,gregory.campbell@example.com,131289478,3302,0,4484,,Gold,2/16/2022,1182
JWXXBL,christopher.blackwell@example.com,1433623419,2791,0,3716,Silver,Gold,8/11/2022,925
GHXX2N,robert.gross@example.com,7476325118,2688,0,4193,,Gold,8/11/2022,1505
B3XXGQ,cassandra.wilson@example.net,4610522055,121,0,924,Silver,Silver,8/12/2022,803
CRXXV3,bruce.martinez@example.org,1745018630,325,0,654,Silver,Silver,1/11/2022,329
CGXX97,evelyn.buchanan@example.net,2999740081,150,0,568,Silver,Silver,1/11/2022,418
CTXXZ0,hannah.tucker@example.org,9830200877,1141,0,3276,Gold,Gold,8/1/2022,2135
EYXX1R,sherry.johnson@example.net,6502260802,382,0,518,Silver,Silver,5/7/2022,136
FFXXZ2,mary.arnold@example.org,2210906132,503,0,757,Silver,Silver,6/27/2022,254
AFXX8D,jennifer.bonilla@example.net,5722635234,3558,0,3886,Silver,Gold,11/27/2021,328
P6XXLP,kathy.jones@example.org,9894418578,10,0,197,Silver,Silver,11/27/2021,187
BCXXBY,kimberly.calhoun@example.org,169089072,1,61,62,Silver,Silver,11/27/2021,122
NEXXTE,elizabeth.adkins@example.org,865098935,1322,0,2189,Silver,Gold,11/26/2021,867
NZXXKD,zachary.martinez@example.com,2497991707,32,0,141,Silver,Silver,11/26/2021,109
DNXXPD,holly.brown@example.com,2482946260,2691,0,3455,Silver,Gold,6/27/2022,764
DDXX86,linda.miller@example.com,7851033561,2534,0,6478,Gold,Diamond,6/27/2022,3944
AHXXGM,hannah.mullins@example.org,8612061700,35,0,105,Silver,Silver,6/27/2022,70
BCXX0Z,steven.santos@example.net,9564633019,496,0,926,Silver,Silver,6/29/2022,430
LBXXLQ,donna.matthews@example.com,3166218401,4,0,49,Silver,Silver,6/29/2022,45
GHXXWJ,paul.jacobs@example.net,7732200605,776,0,824,Silver,Silver,8/21/2022,48
ANXXZM,richard.johnson@example.com,7503926661,1900,117,2039,Silver,Gold,8/6/2022,256
ONXXJW,jay.stephens@example.net,7054612435,119,213,567,Silver,Silver,8/6/2022,661
GHXXSP,morgan.murphy@example.org,5091621295,50,0,136,Silver,Silver,10/25/2021,86
OWXXQG,melissa.porter@example.org,9203763233,32,0,339,Silver,Silver,10/25/2021,307
BHXXXM,michele.lyons@example.com,2585035736,37,0,170,Silver,Silver,1/18/2022,133
BVXXYS,emily.palmer@example.net,5696043614,419,0,623,Silver,Silver,1/18/2022,204
CFXXT5,kathleen.pearson@example.com,4457614685,2579,0,3088,Silver,Gold,4/4/2022,509
N9XXBJ,jeffrey.peterson@example.net,4902503601,4010,0,4462,Silver,Gold,4/4/2022,452
G1XX9K,cassandra.lopez@example.com,4992713765,3400,0,3432,Silver,Gold,2/24/2022,32
I9XX5M,manuel.frank@example.org,9149446441,1286,0,4210,Gold,Gold,2/24/2022,2924
LPXXCW,lindsay.chavez@example.net,2953524382,3934,0,4303,Silver,Gold,11/29/2021,369
O6XXRN,erin.lee@example.org,8651953971,31,724,966,,Silver,11/29/2021,1659
D6XXCC,jennifer.leonard@example.net,7851035395,91,0,260,Silver,Silver,11/29/2021,169
C2XXFD,christopher.cook@example.net,4416697544,285,0,2268,,Gold,11/29/2021,1983
L4XX5Q,breanna.ferguson@example.net,371167091,6,0,403,Silver,Silver,8/5/2022,397
P2XXZ1,lisa.bell@example.net,2798040124,6065,0,7154,,Diamond,8/5/2022,1089
MKXX90,gregory.cox@example.com,1776601546,181,0,310,Silver,Silver,7/7/2022,129
MNXXKL,lisa.donovan@example.net,2949048892,2450,0,4245,,Gold,9/5/2022,1795
NPXXT5,lisa.hebert@example.com,8283633406,602,0,3235,Gold,Gold,9/6/2022,2633
J8XX85,erika.walker@example.net,3259938351,412,0,938,Silver,Silver,9/6/2022,526
H4XXH8,crystal.rivas@example.org,3975738237,409,0,2791,Gold,Gold,1/28/2022,2382
H4XXH8,michael.cooper@example.org,7958572221,103,0,159,Silver,Silver,1/28/2022,56
CVXX03,deborah.martinez@example.net,6367997169,135,0,483,Silver,Silver,3/15/2022,348
L8XXMV,kathleen.roberson@example.net,3227796600,192,0,290,Silver,Silver,9/4/2022,98
CQXXNP,jared.chambers@example.org,6404791391,818,0,956,Silver,Silver,9/4/2022,138
CQXXNP,sean.jensen@example.org,4434599821,140,0,710,Silver,Silver,4/27/2022,570
JEXXW7,joshua.randall@example.org,7237861957,169,0,751,Silver,Silver,4/27/2022,582
ILXXYC,keith.robinson@example.net,8440833334,310,0,689,Silver,Silver,5/4/2022,379
ILXXYC,mark.bryant@example.com,9421866004,233,0,305,Silver,Silver,9/7/2022,72
O9XX2G,donald.johnson@example.com,8212693882,263,0,283,Silver,Silver,9/7/2022,20
AQXXMN,eric.daniels@example.org,7363068558,247,0,580,Silver,Silver,8/23/2022,333
AQXXMN,samuel.jones@example.net,1081191988,4,0,148,Silver,Silver,7/20/2022,144
I7XXP9,patrick.walker@example.org,1793468151,100,0,385,Silver,Silver,7/20/2022,285
I7XXP9,julia.wilson@example.com,5833132222,386,0,575,Silver,Silver,6/22/2022,189
M4XX5M,joseph.porter@example.net,98942732,7558,0,15602,Diamond,Platinum,6/22/2022,8044
F3XXB7,kevin.orozco@example.org,1632196691,404,0,465,Silver,Silver,7/12/2022,61
F3XXB7,julie.haynes@example.com,300728944,147,0,264,Silver,Silver,7/12/2022,117
M4XX5M,cathy.martinez@example.org,8584322887,940,0,3311,Gold,Gold,8/23/2022,2371
IGXX80,danny.mcgee@example.org,4481156453,2298,0,4526,Gold,Gold,8/23/2022,2228
IGXX80,cathy.powell@example.net,1956266191,80,0,255,Silver,Silver,6/18/2022,175
DFXX82,katherine.montes@example.org,708808948,924,0,930,Silver,Silver,6/18/2022,6
DFXX82,russell.parker@example.org,1434321605,2360,0,3077,Silver,Gold,9/3/2022,717
K5XX44,mark.cantrell@example.org,9305879350,2537,0,3176,Silver,Gold,9/3/2022,639
K5XX44,elizabeth.hamilton@example.com,8195246521,114,0,786,Silver,Silver,5/24/2022,672
PLXXMQ,daniel.mcmillan@example.net,6865175811,344,0,822,Silver,Silver,5/24/2022,478
PLXXMQ,jose.kline@example.net,3158733241,1244,145,3215,Gold,Gold,6/21/2022,2116
LGXXPB,michael.gonzalez@example.org,324980673,354,0,615,Silver,Silver,6/21/2022,261
LGXXPB,lorraine.black@example.org,6813468013,459,0,4005,Gold,Gold,4/4/2022,3546
FXXX4T,kathy.wolfe@example.org,7370380321,159,0,905,Silver,Silver,4/4/2022,746
FXXX4T,andrew.williams@example.com,7283152691,736,0,878,Silver,Silver,5/15/2022,142
CBXX2E,eric.hodges@example.org,7296949531,387,0,606,Silver,Silver,5/15/2022,219
CBXX2E,christine.brown@example.com,8151031541,190,0,564,Silver,Silver,9/1/2022,374
N2XXH9,diane.key@example.com,5981852614,2995,0,8609,Diamond,Diamond,9/1/2022,5614
D0XX6B,roger.herrera@example.net,7263212337,1844,0,2982,,Gold,4/21/2022,1138
J2XXBP,rachel.calderon@example.com,7740827910,7,0,2344,Gold,Gold,8/2/2022,2337
N2XXH9,carrie.scott@example.org,2989306021,2295,0,7967,Diamond,Diamond,8/2/2022,5672
J7XXXX,karla.kaiser@example.org,3447722081,381,0,483,Silver,Silver,3/20/2022,102
J7XXXX,nathan.huber@example.com,505323875,51,0,615,Silver,Silver,3/20/2022,564
NEXXV6,matthew.brandt@example.net,6351561831,55,0,225,Silver,Silver,9/19/2022,170
DJXXFX,rhonda.flores@example.org,836280589,3865,0,4043,Silver,Gold,9/19/2022,178
CJXXV1,nicole.lewis@example.org,823165406,237,0,472,Silver,Silver,9/19/2022,235
CJXXV1,aaron.skinner@example.org,2825085578,1614,0,2118,Silver,Gold,9/19/2022,504
M8XXKR,jennifer.white@example.org,7337509697,215,0,497,Silver,Silver,7/21/2022,282
M8XXKR,eric.schmidt@example.net,5924203947,1,0,960,Silver,Silver,7/21/2022,959
PEXXH9,kathy.adams@example.org,186056439,2014,0,3519,,Gold,7/21/2022,1505
HFXXTF,todd.rose@example.org,7290916375,4,0,84,Silver,Silver,7/21/2022,80
PEXXH9,loretta.stone@example.net,1974691018,79,0,344,Silver,Silver,9/24/2022,265
GGXXQS,ronald.moore@example.com,6095929661,508,0,634,Silver,Silver,9/24/2022,126
DRXX16,tommy.fisher@example.net,5584303911,1407,0,3491,Gold,Gold,1/6/2022,2084
H2XXRE,ethan.good@example.com,2120580147,330,0,383,Silver,Silver,1/6/2022,53
DRXX16,jessica.gonzalez@example.org,547937415,33,0,40,Silver,Silver,4/10/2022,7
ANXX9E,kristin.jimenez@example.org,7400008563,3714,0,3977,Silver,Gold,4/10/2022,263
F0XXJF,christina.david@example.net,1792897684,2863,0,3609,Silver,Gold,4/21/2022,746
IBXXS0,faith.atkinson@example.net,6761321602,1368,0,6027,Gold,Diamond,4/21/2022,4659
ANXX9E,jose.mills@example.org,7381880283,8,0,64,Silver,Silver,2/11/2022,56
IBXXS0,danny.roberts@example.org,2557514829,150,0,587,Silver,Silver,9/22/2022,437
B9XX1W,nicholas.lee@example.net,7206683702,132,0,266,Silver,Silver,9/22/2022,134
ICXXTL,audrey.nolan@example.org,1973056874,5,0,7,Silver,Silver,8/18/2022,2
F6XX12,james.morgan@example.com,240887177,2253,690,3088,,Gold,8/18/2022,1525
F6XX12,kelly.evans@example.org,8205267528,117,0,346,Silver,Silver,6/23/2022,229
ICXXTL,jessica.kelley@example.com,2854722617,71,0,84,Silver,Silver,8/22/2022,13
N8XXN8,john.holloway@example.com,21952128,1014,0,2589,,Gold,6/15/2022,1575
N8XXN8,david.scott@example.org,8478336671,72,0,144,Silver,Silver,4/17/2022,72
LLXXC2,alexandra.smith@example.org,1217882905,687,0,700,Silver,Silver,8/10/2022,13
LLXXC2,maureen.holmes@example.org,107930119,2071,0,9287,Diamond,Diamond,4/8/2022,7216
H4XX4R,steven.haney@example.org,4938259116,269,0,651,Silver,Silver,11/20/2021,382
NPXXEX,brent.cook@example.org,1175320608,103,0,110,Silver,Silver,11/20/2021,7
H4XX4R,christian.woodard@example.org,6672462454,4196,0,4345,Silver,Gold,11/20/2021,149
B0XXJR,terri.newman@example.com,5114517567,126,0,712,Silver,Silver,3/6/2022,586
B0XXJR,samantha.torres@example.net,9732463025,640,0,4707,Gold,Gold,3/6/2022,4067
H3XXZR,tammy.clark@example.org,1557188488,519,0,824,Silver,Silver,9/25/2021,305
CLXX2X,dawn.rodriguez@example.com,6836522543,54,0,433,Silver,Silver,6/10/2022,379
B0XXJR,kelly.sherman@example.com,5408761887,1669,605,3881,Gold,Gold,3/26/2022,2817
H3XXZR,mary.burnett@example.org,8638433635,4499,1512,8445,Diamond,Diamond,3/25/2022,5458
AHXXVR,anne.roth@example.com,8448877016,1495,0,3813,Gold,Gold,9/25/2021,2318
LMXXXT,richard.mendoza@example.net,9276454362,1586,0,3697,Gold,Gold,2/9/2022,2111
MCXXX7,nicole.brown@example.org,1029775808,181,0,230,Silver,Silver,4/6/2022,49
AHXXVR,douglas.levy@example.org,5829412403,2728,0,21756,Platinum,Platinum,7/9/2022,19028
M2XXSK,john.spencer@example.org,4320017468,331,0,6659,Diamond,Diamond,7/5/2022,6328
M2XXSK,jacob.cooley@example.com,3853209439,201,0,646,Silver,Silver,4/14/2022,445
GWXXNS,philip.moody@example.com,7518071596,510,0,868,Silver,Silver,6/13/2022,358
IMXXG4,kristina.jackson@example.net,2359706118,67,247,975,,Silver,12/1/2021,1155
J9XXV6,dawn.hardy@example.com,3150941799,9763,0,14232,Gold,Platinum,8/1/2022,4469
DNXX30,taylor.bryan@example.com,7145718698,274,0,329,Silver,Silver,5/19/2022,55
DNXX30,james.white@example.com,3033116382,45,0,552,Silver,Silver,5/19/2022,507
BZXXP4,hailey.gaines@example.net,5415183585,678,0,728,Silver,Silver,5/19/2022,50
BZXXP4,christopher.weiss@example.org,6015585913,4254,0,7096,Gold,Diamond,6/15/2022,2842
K0XXFZ,crystal.bailey@example.net,2329886458,19,0,26,Silver,Silver,4/6/2022,7
GKXXNC,tiffany.reyes@example.net,2549502492,18817,0,21728,Gold,Platinum,5/14/2022,2911
GKXXNC,renee.rivera@example.net,5717190142,982,0,6853,Diamond,Diamond,7/16/2022,5871
J5XXD5,isaac.griffith@example.org,259018171,12,0,111,Silver,Silver,7/16/2022,99
J5XXD5,daniel.wang@example.com,4411792728,559,0,919,Silver,Silver,7/27/2022,360
K0XXFZ,donna.skinner@example.org,5764554048,696,1600,4230,Diamond,Gold,7/19/2022,5134
F0XXJD,kevin.cantu@example.net,548761135,3480,0,4252,Silver,Gold,3/3/2022,772
F0XXJD,maxwell.harvey@example.org,4951220561,152,0,844,Silver,Silver,9/3/2022,692
MJXX6C,tammy.kelley@example.net,5882136346,511,0,968,Silver,Silver,4/7/2022,457
MJXX6C,monica.baker@example.org,4056951567,21,0,63,Silver,Silver,6/15/2022,42
MDXXJ8,michael.adams@example.net,8657561069,117,0,731,Silver,Silver,1/24/2022,614
MDXXJ8,chelsea.warner@example.org,9546145602,14,0,123,Silver,Silver,6/15/2022,109
ORXXVY,richard.lambert@example.com,5121162099,2582,0,4126,,Gold,3/24/2022,1544
IJXXE3,steven.cortez@example.net,5375814117,110,52,162,Silver,Silver,6/19/2022,104
ORXXVY,carol.yates@example.net,7008113370,101,0,979,Silver,Silver,9/5/2022,878
IJXXE3,monica.ball@example.net,3279560538,148,0,155,Silver,Silver,8/6/2022,7
CYXXYY,john.payne@example.com,5143860438,169,0,204,Silver,Silver,8/6/2022,35
NLXX12,william.green@example.net,7059621987,4369,0,18586,Platinum,Platinum,8/31/2022,14217
